0	224.7074
1	224.65399
2	223.14908
3	220.5349
4	216.84189
5	212.35953
6	207.25293
7	201.61734
8	195.66658
9	189.52112
10	183.21136
11	176.814
12	170.37083
13	163.85318
14	157.15561
15	150.47824
16	144.02644
17	137.86382
18	131.93854
19	126.29384
20	120.8902
21	115.74023
22	110.83469
23	106.15433
24	101.71455
25	97.47274
26	93.44222
27	89.59553
28	85.9603
29	82.49038
30	79.21
31	76.08385
32	73.12257
33	70.30546
34	67.63169
35	65.09142
36	62.67604
37	60.38327
38	58.19961
39	56.12787
40	54.15167
41	52.27726
42	50.48671
43	48.78846
44	47.16406
45	45.62308
46	44.14746
47	42.74696
48	41.40466
49	40.12974
50	38.90699
51	37.74156
52	36.63124
53	35.5649
54	34.54988
55	33.57496
56	32.64562
57	31.75298
58	30.90074
59	30.08221
60	29.29948
61	28.54784
62	27.82785
63	27.13665
64	26.47346
65	25.83692
66	25.2252
67	24.63819
68	24.07324
69	23.53112
70	23.00873
71	22.5074
72	22.02381
73	21.55958
74	21.11142
75	20.68097
76	20.2652
77	19.86557
78	19.47948
79	19.10799
80	18.74913
81	18.40337
82	18.06951
83	17.74732
84	17.43645
85	17.13595
86	16.84619
87	16.56572
88	16.29537
89	16.0334
90	15.78093
91	15.53608
92	15.30012
93	15.07109
94	14.85039
95	14.6361
96	14.42942
97	14.22886
98	14.03526
99	13.84732
100	13.66588
101	13.4898
102	13.3193
103	13.15459
104	12.99456
105	12.84
106	12.68987
107	12.54478
108	12.45298
109	12.31586
110	12.18216
111	12.05204
112	11.92516
113	11.8016
114	11.68117
115	11.56382
116	11.44948
117	11.33801
118	11.22944
119	11.12354
120	11.02042
121	10.9198
122	10.82184
123	10.72622
124	10.63314
125	10.54228
126	10.45384
127	10.3675
128	10.28344
129	10.20141
130	10.12151
131	10.04357
132	9.96763
133	9.8936
134	9.82141
135	9.7511
136	9.68246
137	9.61563
138	9.55025
139	9.48655
140	9.42415
141	9.3631
142	9.30322
143	9.24438
144	9.18652
145	9.12939
146	9.07298
147	9.01705
148	8.96153
149	8.90623
150	8.85103
151	8.79567
152	8.73996
153	8.68383
154	8.62714
155	8.5698
156	8.51172
157	8.45283
158	8.39308
159	8.33238
160	8.27073
161	8.2079
162	8.14391
163	8.07868
164	8.01232
165	7.9448
166	7.87624
167	7.80664
168	7.73612
169	7.66471
170	7.59251
171	7.51966
172	7.44606
173	7.37194
174	7.29739
175	7.22278
176	7.1482
177	7.07375
178	6.99949
179	6.92546
180	6.85172
181	6.7783
182	6.70529
183	6.63272
184	6.56068
185	6.48923
186	6.41844
187	6.34853
188	6.27967
189	6.21197
190	6.14545
191	6.08018
192	6.01616
193	5.95347
194	5.89211
195	5.8322
196	5.77374
197	5.71684
198	5.66153
199	5.60784
200	5.55584
201	5.50554
202	5.45718
203	5.41061
204	5.36606
205	5.32326
206	5.28252
207	5.24351
208	5.20661
209	5.17146
210	5.13847
211	5.10725
212	5.07821
213	5.05092
214	5.02575
215	5.00227
216	4.98082
217	4.96104
218	4.94323
219	4.92708
220	4.9129
221	4.90043
222	4.88984
223	4.88124
224	4.87429
225	4.86929
226	4.8659
227	4.86438
228	4.86443
229	4.86624
230	4.86959
231	4.87459
232	4.88108
233	4.8891
234	4.89851
235	4.90931
236	4.92137
237	4.93464
238	4.94903
239	4.96445
240	4.98085
241	4.99813
242	5.01624
243	5.03509
244	5.05464
245	5.07476
246	5.09537
247	5.11635
248	5.1376
249	5.159
250	5.18046
251	5.20189
252	5.22322
253	5.24436
254	5.26526
255	5.28584
256	5.30604
257	5.32572
258	5.34488
259	5.36328
260	5.38095
261	5.39772
262	5.41351
263	5.42828
264	5.44185
265	5.45433
266	5.46545
267	5.47538
268	5.48385
269	5.49113
270	5.49695
271	5.50151
272	5.50465
273	5.50649
274	5.50693
275	5.50601
276	5.50372
277	5.50004
278	5.495
279	5.48855
280	5.4808
281	5.47172
282	5.46143
283	5.44992
284	5.43734
285	5.42365
286	5.40902
287	5.39347
288	5.37715
289	5.36011
290	5.34249
291	5.32437
292	5.30595
293	5.28756
294	5.26959
295	5.25209
296	5.23529
297	5.21918
298	5.2039
299	5.18941
300	5.17586
301	5.16327
302	5.15174
303	5.14131
304	5.13205
305	5.12404
306	5.11735
307	5.11245
308	5.10935
309	5.10824
310	5.10888
311	5.11147
312	5.11583
313	5.12253
314	5.13133
315	5.14247
316	5.15557
317	5.17076
318	5.18778
319	5.2072
320	5.22889
321	5.25302
322	5.27949
323	5.30835
324	5.33953
325	5.37298
326	5.40878
327	5.4468
328	5.48721
329	5.52992
330	5.57535
331	5.62342
332	5.67415
333	5.72703
334	5.78235
335	5.84006
336	5.90031
337	5.96293
338	6.02746
339	6.09319
340	6.15926
341	6.22473
342	6.28815
343	6.34762
344	6.39988
345	6.44406
346	6.47714
347	6.5001
348	6.51269
349	6.51755
350	6.51532
351	6.50699
352	6.49255
353	6.47269
354	6.44834
355	6.42046
356	6.38992
357	6.3574
358	6.32377
359	6.28954
360	6.25502
361	6.22033
362	6.18565
363	6.15096
364	6.11599
365	6.08047
366	6.04452
367	6.00844
368	5.97248
369	5.93682
370	5.90176
371	5.86792
372	5.83601
373	5.80671
374	5.78074
375	5.75782
376	5.73838
377	5.7217
378	5.70816
379	5.69706
380	5.68815
381	5.68077
382	5.67439
383	5.6688
384	5.66343
385	5.65784
386	5.6519
387	5.64534
388	5.63806
389	5.62978
390	5.62065
391	5.61054
392	5.59952
393	5.58761
394	5.57487
395	5.56133
396	5.54691
397	5.53162
398	5.51521
399	5.4977
