81	-0.843089	0.321014	0.902136	-0.843089	0.321014	0.902136
82	-0.853727	0.312383	0.909084	-0.853727	0.312383	0.909084
83	-0.865321	0.303181	0.916897	-0.865321	0.303181	0.916897
84	-0.875748	0.294212	0.923848	-0.875748	0.294212	0.923848
85	-0.886051	0.285084	0.930784	-0.886051	0.285084	0.930784
86	-0.89623	0.275796	0.937705	-0.89623	0.275796	0.937705
87	-0.906274	0.266356	0.944604	-0.906274	0.266356	0.944604
88	-0.916181	0.256766	0.951481	-0.916181	0.256766	0.951481
89	-0.925945	0.247029	0.95833	-0.925945	0.247029	0.95833
90	-0.93556	0.23715	0.965148	-0.93556	0.23715	0.965148
91	-0.945021	0.227131	0.971933	-0.945021	0.227131	0.971933
92	-0.954324	0.216977	0.978679	-0.954324	0.216977	0.978679
93	-0.963465	0.206692	0.985386	-0.963465	0.206692	0.985386
94	-0.972436	0.196279	0.992047	-0.972436	0.196279	0.992047
95	-0.981237	0.18574	0.998662	-0.981237	0.18574	0.998662
96	-0.989859	0.175083	1.00522	-0.989859	0.175083	1.00522
97	-0.998303	0.164307	1.01173	-0.998303	0.164307	1.01173
98	-1.00656	0.15342	1.01818	-1.00656	0.15342	1.01818
99	-1.01463	0.142422	1.02458	-1.01463	0.142422	1.02458
100	-1.0225	0.13132	1.0309	-1.0225	0.13132	1.0309
101	-1.03018	0.120115	1.03716	-1.03018	0.120115	1.03716
102	-1.03766	0.108813	1.04335	-1.03766	0.108813	1.04335
103	-1.04494	0.0974164	1.04947	-1.04494	0.0974164	1.04947
104	-1.05201	0.08593	1.05551	-1.05201	0.08593	1.05551
105	-1.05887	0.0743567	1.06148	-1.05887	0.0743567	1.06148
106	-1.06552	0.0627012	1.06736	-1.06552	0.0627012	1.06736
107	-1.07195	0.0509668	1.07316	-1.07195	0.0509668	1.07316
108	-1.07816	0.0391575	1.07887	-1.07816	0.0391575	1.07887
109	-1.08415	0.0272774	1.08449	-1.08415	0.0272774	1.08449
110	-1.08992	0.0153299	1.09003	-1.08992	0.0153299	1.09003
111	-1.09546	0.00332008	1.09546	-1.09546	0.00332008	1.09546
112	-1.10077	-0.00874958	1.10081	-1.10077	-0.00874958	1.10081
113	-1.10585	-0.0208724	1.10604	-1.10585	-0.0208724	1.10604
114	-1.11069	-0.0330468	1.11118	-1.11069	-0.0330468	1.11118
115	-1.11529	-0.0452659	1.11621	-1.11529	-0.0452659	1.11621
116	-1.11965	-0.0575265	1.12113	-1.11965	-0.0575265	1.12113
